Name,Address,Phone,Closed,PharmacyClosed
CVS Store #5987,"4800 NORTH DAMEN AVENUE, CHICAGO, IL 60625",773-907-2010,FALSE,FALSE
CVS Store #17167,"2112 W PETERSON AVE, CHICAGO, IL 60659",773-761-3006,FALSE,FALSE
CVS Store #6785,"3343 WEST MONTROSE AVENUE, CHICAGO, IL 60618",773-279-2929,FALSE,FALSE
CVS Store #8751,"4051 NORTH LINCOLN AVENUE, CHICAGO, IL 60618",773-871-2611,FALSE,FALSE
CVS Store #2862,"3944 NORTH WESTERN AVENUE, CHICAGO, IL 60618",773-279-7600,FALSE,FALSE
CVS Store #1493,"5205 NORTH BROADWAY STREET, CHICAGO, IL 60640",773-275-5641,FALSE,FALSE
CVS Store #17437,"4466 N BROADWAY ST, CHICAGO, IL 60640",773-596-2377,FALSE,FALSE
CVS Store #16771,"2939 W ADDISON ST, CHICAGO, IL 60618",773-604-7681,FALSE,FALSE
CVS Store #8747,"6150 NORTH BROADWAY, CHICAGO, IL 60660",773-274-9337,FALSE,FALSE
CVS Store #8753,"3637 NORTH SOUTHPORT AVENUE, CHICAGO, IL 60613",773-348-5282,FALSE,FALSE
CVS Store #8980,"6510 NORTH SHERIDAN ROAD, CHICAGO, IL 60626",773-338-4384,FALSE,FALSE
CVS Store #17711,"3300 N. ASHLAND AVE, CHICAGO, IL 60657",773-549-5429,FALSE,FALSE
CVS Store #8749,"3950 WEST DEVON AVENUE, DEVON AND CRAWFORD, LINCOLNWOOD, IL 60712",847-763-0685,FALSE,FALSE
CVS Store #2809,"2815 NORTH WESTERN AVENUE, CHICAGO, IL 60618",773-486-4102,FALSE,FALSE
CVS Store #5681,"3311 NORTH PULASKI ROAD, CHICAGO, IL 60641",773-685-5260,FALSE,FALSE
CVS Store #17698,"3200 NORTH CLARK STREET, CHICAGO, IL 60657",773-248-2841,FALSE,FALSE
CVS Store #16361,"2656 N ELSTON AVE, CHICAGO, IL 60647",773-252-2210,FALSE,FALSE
CVS Store #4778,"101 ASBURY STREET, EVANSTON, IL 60202",847-905-3300,FALSE,FALSE
CVS Store #8695,"3101 NORTH CLARK STREET, CHICAGO, IL 60657",773-477-3333,FALSE,FALSE
CVS Store #16349,"2209 HOWARD ST, EVANSTON, IL 60202",847-733-1166,FALSE,FALSE
CVS Store #17761,"2434 N. SACRAMENTO AVE, CHICAGO, IL 60647",773-687-6346,FALSE,TRUE
CVS Store #5001,"3033 NORTH BROADWAY STREET, CHICAGO, IL 60657",773-883-6141,FALSE,FALSE
CVS Store #8735,"3940 WEST FULLERTON AVENUE, CHICAGO, IL 60647",773-486-0343,FALSE,FALSE
CVS Store #17683,"2650 N CLARK ST, CHICAGO, IL 60614",773-525-0179,FALSE,FALSE
CVS Store #8750,"4801 NORTH CENTRAL AVENUE, CHICAGO, IL 60630",773-282-2830,FALSE,FALSE
CVS Store #4979,"7855 SOUTH WESTERN AVENUE, CHICAGO, IL 60652",773-436-6000,FALSE,TRUE
CVS Store #2845,"1930 WEST 103RD STREET, CHICAGO, IL 60643",773-239-8041,FALSE,FALSE
CVS Store #2790,"3201 WEST 95TH STREET, EVERGREEN PARK, IL 60805",708-499-8811,FALSE,FALSE
CVS Store #8508,"3156 WEST 103RD STREET, CHICAGO, IL 60655",773-238-4941,FALSE,FALSE
CVS Store #2935,"8712 SOUTH STONY ISLAND AVENUE, CHICAGO, IL 60619",773-933-9200,TRUE,TRUE
CVS Store #8519,"11055 SOUTH WESTERN AVENUE, CHICAGO, IL 60643",773-445-1798,FALSE,FALSE
CVS Store #17175,"4120 W 95TH ST, OAK LAWN, IL 60453",708-741-4070,FALSE,FALSE
CVS Store #2798,"3951 WEST 103RD STREET, CHICAGO, IL 60655",773-881-3359,FALSE,FALSE
CVS Store #8502,"6315 SOUTH PULASKI ROAD, CHICAGO, IL 60629",773-284-7070,FALSE,FALSE
CVS Store #2846,"8639 SOUTH CICERO AVENUE, CHICAGO, IL 60652",773-284-6332,FALSE,FALSE
CVS Store #16285,"7100 S CICERO AVE, CHICAGO, IL 60629",708-563-9061,FALSE,FALSE
CVS Store #5836,"1228 EAST 53RD STREET, KIMBARK PLAZA, CHICAGO, IL 60615",773-752-1425,FALSE,FALSE
CVS Store #17686,"1346 E 53RD STREET, CHICAGO, IL 60615",773-947-0438,FALSE,FALSE
CVS Store #16999,"4433 S PULASKI RD, CHICAGO, IL 60632",773-579-2121,FALSE,FALSE
CVS Store #17166,"1940 W 33RD ST, CHICAGO, IL 60608",773-843-3267,FALSE,FALSE
CVS Store #8738,"741 WEST 31ST STREET, CHICAGO, IL 60608",312-567-9044,FALSE,FALSE
CVS Store #4487,"8625 SOUTH HARLEM STREET, BRIDGEVIEW, IL 60455",708-237-3341,FALSE,FALSE
CVS Store #16306,"5071 CAL SAG RD, CRESTWOOD, IL 60445",708-385-3199,FALSE,FALSE
CVS Store #7166,"250 WEST 144TH STREET, RIVERDALE, IL 60827",708-849-5512,FALSE,FALSE
CVS Store #8505,"6748 WEST 111TH STREET, WORTH, IL 60482",708-361-9701,FALSE,FALSE
CVS Store #8741,"2634 SOUTH PULASKI ROAD, CHICAGO, IL 60623",773-522-2622,FALSE,FALSE
CVS Store #16219,"2901 S CICERO AVE, CICERO, IL 60804",708-863-6833,FALSE,FALSE
CVS Store #4978,"14701 SOUTH PULASKI ROAD, CORNER OF 147TH AND PULASKI, MIDLOTHIAN, IL 60445",708-239-2150,FALSE,FALSE
CVS Store #4793,"1211 WEST ROOSEVELT ROAD, CHICAGO, IL 60608",312-733-0147,FALSE,FALSE
CVS Store #17009,"1154 S CLARK ST, CHICAGO, IL 60605",312-212-6301,FALSE,FALSE
CVS Store #8910,"205 NORTH COLUMBUS DRIVE, CHICAGO, IL 60601",312-861-0315,FALSE,FALSE
