Name,Address,Phone,Closed,PharmacyClosed
CVS Store #4781,"205 N. MICHIGAN AVENUE, CHICAGO, IL 60601",312-938-4091,FALSE,FALSE
CVS Store #17677,"401 E ILLINOIS ST, CHICAGO, IL 60611",312-894-1765,FALSE,FALSE
CVS Store #3674,"105 SOUTH WABASH AVENUE, CHICAGO, IL 60603",312-244-1521,FALSE,TRUE
CVS Store #17643,"1 S STATE ST, CHICAGO, IL 60603",312-279-2134,FALSE,FALSE
CVS Store #10942,"310 S. MICHIGAN AVE, CHICAGO, IL 60604",312-588-0704,FALSE,FALSE
CVS Store #8699,"137 SOUTH STATE STREET, CHICAGO, IL 60603",312-609-1215,FALSE,TRUE
CVS Store #3742,"121 WEST KINZIE STREET, CHICAGO, IL 60610",312-970-2881,FALSE,TRUE
CVS Store #2934,"208 WEST WASHINGTON, CHICAGO, IL 60606",312-201-5921,FALSE,TRUE
CVS Store #4061,"520 SOUTH STATE STREET, CHICAGO, IL 60605",312-697-0021,FALSE,FALSE
CVS Store #11090,"678 N WELLS STREET, CHICAGO, IL 60654",312-255-0425,FALSE,FALSE
CVS Store #788,"344 WEST HUBBARD STREET, CORNER OF ORLEANS, CHICAGO, IL 60654",312-222-2570,FALSE,TRUE
CVS Store #8731,"400 WEST MADISON STREET, CHICAGO, IL 60606",312-474-1051,FALSE,TRUE
CVS Store #5768,"130 SOUTH CANAL STREET, CHICAGO, IL 60606",312-589-8991,FALSE,TRUE
CVS Store #1054,"101 NORTH CLINTON STREET, CHICAGO, IL 60661",312-234-9206,FALSE,TRUE
CVS Store #2981,"1201 NORTH STATE STREET, CHICAGO, IL 60610",312-640-2842,FALSE,FALSE
CVS Store #8698,"1165 NORTH CLARK STREET, CHICAGO, IL 60610",312-280-8140,FALSE,FALSE
CVS Store #11376,"1034 WEST LAKE STREET, CHICAGO, IL 60607",312-705-2004,FALSE,FALSE
CVS Store #17591,"1200 N LARRABEE ST, CHICAGO, IL 60610",312-470-8945,FALSE,FALSE
CVS Store #8745,"771 NORTH OGDEN AVENUE, CHICAGO, IL 60622",312-243-5590,FALSE,FALSE
CVS Store #17634,"1101 W JACKSON BLVD, CHICAGO, IL 60607",312-279-3341,FALSE,FALSE
CVS Store #2942,"401 WEST ARMITAGE AVENUE, CHICAGO, IL 60614",312-337-3035,FALSE,FALSE
CVS Store #3690,"1714 NORTH SHEFFIELD AVENUE, CHICAGO, IL 60614",312-640-5161,FALSE,FALSE
CVS Store #16528,"2241 WILLOW RD, GLENVIEW, IL 60025",847-657-0096,FALSE,FALSE
CVS Store #141,"936 WILLOW ROAD, NORTHBROOK, IL 60062",847-291-3596,FALSE,FALSE
CVS Store #10808,"2775 SANDERS RD, NORTHBROOK, IL 60062",847-513-0217,TRUE,TRUE
CVS Store #10467,"3780 WILLOW ROAD, NORTHBROOK, IL 60062",847-326-1201,FALSE,FALSE
CVS Store #2797,"9640 N MILWAUKEE AVE., NILES, IL 60714",847-544-3831,FALSE,FALSE
CVS Store #16492,"239 GOLF MILL CTR, NILES, IL 60714",847-768-9226,FALSE,FALSE
CVS Store #4396,"2648 DEMPSTER STREET, PARK RIDGE, IL 60068",847-298-2802,FALSE,FALSE
CVS Store #4787,"1539 CLAVEY ROAD, HIGHLAND PARK, IL 60035",847-831-6691,FALSE,FALSE
CVS Store #8752,"5945 WEST DEMPSTER STREET, MORTON GROVE, IL 60053",847-583-0670,FALSE,FALSE
CVS Store #17706,"4955 DEMPSTER ST, SKOKIE, IL 60077",847-673-4661,FALSE,FALSE
CVS Store #8760,"3333 CENTRAL STREET, EVANSTON, IL 60201",847-869-3800,FALSE,FALSE
CVS Store #4581,"7139 NORTH MILWAUKEE AVENUE, NILES, IL 60714",847-647-6422,FALSE,FALSE
CVS Store #16350,"6150 W TOUHY AVE, NILES, IL 60714",847-588-2808,FALSE,FALSE
CVS Store #16534,"1700 E RAND RD, ARLINGTON HEIGHTS, IL 60004",847-222-1750,FALSE,FALSE
CVS Store #5960,"2000 SKOKIE VALLEY ROAD, HIGHLAND PARK, IL 60035",847-681-1198,FALSE,FALSE
CVS Store #16682,"7000 MANNHEIM RD, ROSEMONT, IL 60018",847-795-1878,FALSE,FALSE
CVS Store #16529,"2099 SKOKIE VALLEY RD, HIGHLAND PARK, IL 60035",847-266-8147,FALSE,FALSE
CVS Store #10052,"1515 SHERIDAN ROAD, WILMETTE, IL 60091",847-251-6223,FALSE,FALSE
CVS Store #8757,"4001 MAIN STREET, SKOKIE, IL 60076",847-677-8133,FALSE,FALSE
CVS Store #2788,"20 EAST DUNDEE ROAD, BUFFALO GROVE, IL 60089",847-459-3800,FALSE,FALSE
CVS Store #3110,"1002 SOUTH BUSSE ROAD, MOUNT PROSPECT, IL 60056",847-871-6291,FALSE,FALSE
CVS Store #5978,"3434 DEMPSTER STREET, SKOKIE, IL 60076",847-674-1242,FALSE,FALSE
CVS Store #16724,"1400 E LAKE COOK RD, WHEELING, IL 60090",847-215-5055,FALSE,FALSE
CVS Store #17733,"1616 SHERMAN AVE, EVANSTON, IL 60201",847-491-0127,FALSE,FALSE
CVS Store #16229,"679 E DUNDEE RD, PALATINE, IL 60074",847-202-5130,FALSE,FALSE
CVS Store #5913,"200 WEST NORTHWEST HIGHWAY, PALATINE, IL 60067",847-934-2530,FALSE,FALSE
CVS Store #2863,"2045 PLUM GROVE ROAD, ROLLING MEADOWS, IL 60008",847-303-2451,FALSE,FALSE
CVS Store #8946,"4186 NORTH HIGHWAY 83, LONG GROVE, IL 60047",847-478-5465,FALSE,FALSE
CVS Store #16316,"1235 E HIGGINS RD, SCHAUMBURG, IL 60173",847-413-1091,FALSE,FALSE
CVS Store #7181,"101 SOUTH NORTHWEST HIGHWAY, BARRINGTON, IL 60010",847-381-4105,FALSE,FALSE
CVS Store #16421,"555 S RAND RD, LAKE ZURICH, IL 60047",847-726-2584,FALSE,FALSE
CVS Store #8734,"1801 WEST GOLF ROAD, SCHAUMBURG, IL 60194",847-885-1326,FALSE,FALSE
CVS Store #7788,"2075 SOUTH LAKE STREET, MUNDELEIN, IL 60060",847-566-6347,FALSE,FALSE
CVS Store #16277,"313 E TOWNLINE RD, VERNON HILLS, IL 60061",847-680-0483,FALSE,FALSE
CVS Store #1965,"7200 WEST CERMAK ROAD, NORTH RIVERSIDE, IL 60546",708-442-8247,FALSE,FALSE
CVS Store #8744,"9139 BROADWAY, BROOKFIELD, IL 60513",708-387-9982,FALSE,FALSE
CVS Store #5213,"8911 OGDEN AVENUE, BROOKFIELD, IL 60513",708-485-5130,FALSE,FALSE
CVS Store #17169,"800 BROADVIEW VILLAGE SQ, BROADVIEW, IL 60155",708-731-5556,FALSE,FALSE
CVS Store #2844,"6748 ROOSEVELT ROAD, OAK PARK, IL 60304",708-358-7791,FALSE,FALSE
CVS Store #8742,"5524 WEST CERMAK ROAD, CICERO, IL 60804",708-656-0306,FALSE,FALSE
CVS Store #3163,"345 MADISON STREET, OAK PARK, IL 60302",708-386-2157,FALSE,FALSE
CVS Store #8736,"7216 CIRCLE AVENUE, FOREST PARK, IL 60130",708-366-4400,FALSE,FALSE
CVS Store #17717,"1129 LAKE STREET, OAK PARK, IL 60301",708-383-0267,FALSE,FALSE
CVS Store #17536,"130 S MANNHEIM RD, HILLSIDE, IL 60162",708-375-5072,FALSE,FALSE
CVS Store #16287,"9250 JOLIET RD, HODGKINS, IL 60525",708-387-2361,FALSE,FALSE
CVS Store #2827,"600 NORTH MANNHEIM, HILLSIDE, IL 60162",708-649-3741,FALSE,FALSE
CVS Store #16281,"850 W NORTH AVE, MELROSE PARK, IL 60160",708-338-2795,FALSE,FALSE
CVS Store #3889,"7929 NORTH AVENUE, RIVER FOREST, IL 60305",708-366-2298,FALSE,FALSE
CVS Store #8739,"1819 NORTH HARLEM AVENUE, CHICAGO, IL 60707",773-237-8927,FALSE,FALSE
CVS Store #17042,"6525 W DIVERSEY AVE, CHICAGO, IL 60707",773-804-3611,FALSE,FALSE
CVS Store #834,"8811 WEST 87TH STREET, HICKORY HILLS, IL 60457",708-430-6780,FALSE,FALSE
CVS Store #7761,"10420 GRAND AVENUE, FRANKLIN PARK, IL 60131",847-455-0160,FALSE,FALSE
CVS Store #16792,"17605 S HALSTED ST, HOMEWOOD, IL 60430",708-335-5255,FALSE,FALSE
CVS Store #8949,"15840 CICERO AVENUE, OAK FOREST, IL 60452",708-535-0138,FALSE,FALSE
CVS Store #5769,"470 SOUTH TORRENCE AVENUE, CORNER OF SIBELY, CALUMET CITY, IL 60409",708-832-2943,FALSE,FALSE
CVS Store #70,"3200 FLOSSMOOR ROAD, FLOSSMOOR, IL 60422",708-798-4625,FALSE,FALSE
CVS Store #2664,"11 EAST 14TH STREET, CHICAGO HEIGHTS, IL 60411",708-756-5441,FALSE,FALSE
CVS Store #3603,"16701 SOUTH HARLEM AVENUE, TINLEY PARK, IL 60477",708-444-4256,FALSE,FALSE
CVS Store #1768,"3400 LINCOLN HIGHWAY, OLYMPIA FIELDS, IL 60461",708-748-6472,FALSE,FALSE
CVS Store #2520,"6445 CALUMET AVENUE, HAMMOND, IN 46325",219-937-8521,FALSE,FALSE
CVS Store #17031,"8005 CALUMET AVE, MUNSTER, IN 46321",219-836-2697,FALSE,FALSE
CVS Store #17128,"7300 191ST ST, TINLEY PARK, IL 60487",815-806-3211,FALSE,FALSE
CVS Store #8512,"1 MAIN STREET, PARK FOREST, IL 60466",708-747-5562,FALSE,FALSE
CVS Store #10943,"1301 119TH STREET, WHITING, IN 46394",219-659-0299,TRUE,TRUE
CVS Store #5819,"11859 SOUTHWEST HIGHWAY, PALOS HEIGHTS, IL 60463",708-671-1360,FALSE,FALSE
CVS Store #4368,"801 MAIN STREET, MUNSTER, IN 46321",219-924-2491,FALSE,FALSE
CVS Store #10555,"14290 SOUTH LA GRANGE ROAD, ORLAND PARK, IL 60462",708-403-2356,FALSE,FALSE
CVS Store #8500,"11201 143RD STREET, 143 STREET AND WOLF ROAD, ORLAND PARK, IL 60467",708-364-1466,FALSE,FALSE
CVS Store #16286,"15850 S 94TH AVE, ORLAND PARK, IL 60462",708-349-1383,FALSE,FALSE
CVS Store #17002,"7601 KINGERY HWY, WILLOWBROOK, IL 60527",630-321-2081,FALSE,FALSE
CVS Store #3256,"12720 ARCHER ROAD, LEMONT, IL 60439",630-243-3345,FALSE,FALSE
